Line Group.1 Group.2 x weekmax weekmin e abnm
512 35 2009 1631428.57142857 1640000 1620000 NA 1.31834195131172
513 36 2009 1607142.85714286 1650000 1560000 NA 1.4038711606305
514 37 2009 1522857.14285714 1540000 1510000 NA 1.1537642345372
515 38 2009 1500000 1510000 1490000 NA 1.13496409991775
516 39 2009 1490000 1510000 1460000 NA 1.02520159049156
517 40 2009 1471428.57142857 1510000 1440000 NA 0.463835892807278
518 41 2009 1575714.28571429 1630000 1530000 NA -0.0609900812004925
519 42 2009 1695714.28571429 1750000 1640000 NA -0.37394607328367
520 43 2009 1837142.85714286 1910000 1760000 NA -0.410056768837888
521 44 2009 2001428.57142857 2040000 1940000 NA -0.287447296730297
522 45 2009 2157142.85714286 2280000 2050000 NA 0.027567999565409
523 46 2009 2422857.14285714 2510000 2330000 NA 0.862551563694002
524 47 2009 2558571.42857143 2590000 2520000 NA 1.20443986080729
525 48 2009 2504285.71428571 2510000 2500000 NA 0.823318988721234
526 49 2009 2544285.71428571 2570000 2510000 NA 0.546316566992444
527 50 2009 2622857.14285714 2670000 2580000 NA 0.344036917847919
528 51 2009 2737142.85714286 2780000 2690000 NA 0.288272295325161
529 52 2009 2824285.71428571 2850000 2790000 NA -0.140725682399964
530 53 2009 2885000 2900000 2870000 NA -0.354779526304173
531 1 2010 3038333.33333333 3210000 2920000 NA -0.139570188046409
532 2 2010 3505714.28571429 3710000 3290000 NA 0.449850158350179
533 3 2010 3872857.14285714 3940000 3760000 NA 0.709551391315334
534 4 2010 3898571.42857143 3910000 3890000 NA 0.57273941855511
535 5 2010 3872857.14285714 3900000 3830000 NA 0.224913085404957
536 6 2010 3912857.14285714 3940000 3860000 NA -0.028890069394985
537 7 2010 4045714.28571429 4130000 3950000 NA 0.0569006464117687
538 8 2010 4101428.57142857 4130000 4060000 NA 0.0170618874119893
539 9 2010 3990000 4040000 3940000 NA -0.323737199951919
540 10 2010 4040000 4180000 3950000 NA -0.206379544876812
541 11 2010 4474285.71428571 4710000 4260000 NA 0.401274855722017
542 12 2010 4970000 5070000 4800000 NA 1.0381544410174
543 13 2010 4937142.85714286 5040000 4840000 NA 1.3353286086239
544 14 2010 4545714.28571429 4780000 4330000 NA 1.24661982319743
545 15 2010 4105714.28571429 4270000 3950000 NA 0.705761898050652
546 16 2010 3792857.14285714 3900000 3700000 NA 0.213796077262019
547 17 2010 3574285.71428571 3660000 3470000 NA -0.0750441267203824
548 18 2010 3348571.42857143 3450000 3230000 NA -0.21044256383806
549 19 2010 3101428.57142857 3200000 3010000 NA -0.35225941378053
550 20 2010 2910000 2980000 2840000 NA -0.543505261129133
551 21 2010 2760000 2820000 2700000 NA -0.678385810641685
552 22 2010 2642857.14285714 2690000 2610000 NA -0.751133179795826
553 23 2010 2645714.28571429 2670000 2600000 NA -0.56430947779031
